samples,tissue,estimate,status
nonpreg8,megakaryocyte,0.07501018677925576,not pregnant
preg1,megakaryocyte,0.1239115550498436,pregnant
preg2,megakaryocyte,0.021128096900547327,pregnant
preg3,megakaryocyte,0.09732276020407693,pregnant
preg4,megakaryocyte,0.05093495583023463,pregnant
preg5,megakaryocyte,0.09591787659178504,pregnant
preg6,megakaryocyte,0.10218587085746764,pregnant
preg7,megakaryocyte,0.04965959920971768,pregnant
nonpreg1,skeletal,0.012235304939677328,not pregnant
nonpreg2,skeletal,4.871853177692792e-09,not pregnant
nonpreg3,skeletal,0.017552573279531632,not pregnant
nonpreg4,skeletal,1.163561292620075e-17,not pregnant
nonpreg5,skeletal,2.2847918088815728e-10,not pregnant
nonpreg6,skeletal,0.0006270405512873984,not pregnant
nonpreg7,skeletal,9.379269200084653e-06,not pregnant
nonpreg8,skeletal,1.0013037159140887e-16,not pregnant
preg1,skeletal,7.550626375779494e-19,pregnant
preg2,skeletal,3.97836054464307e-17,pregnant
preg3,skeletal,1.5780737338096618e-16,pregnant
preg4,skeletal,5.621880545545538e-19,pregnant
preg5,skeletal,0.006302897945439687,pregnant
preg6,skeletal,1.729637690572658e-11,pregnant
preg7,skeletal,0.0004438892155350006,pregnant
nonpreg1,small,0.021640531243788008,not pregnant
nonpreg2,small,0.00034498628610924896,not pregnant
nonpreg3,small,0.013839869229330823,not pregnant
nonpreg4,small,0.011773886442731243,not pregnant
nonpreg5,small,0.0003424986814162488,not pregnant
nonpreg6,small,0.06746421517242265,not pregnant
nonpreg7,small,0.02171212605002272,not pregnant
nonpreg8,small,0.06383323222623744,not pregnant
preg1,small,0.022388835094563242,pregnant
preg2,small,0.0007431426090121745,pregnant
preg3,small,0.04552277440532223,pregnant
preg4,small,0.0066060851249288,pregnant
preg5,small,0.013632991668924245,pregnant
preg6,small,0.030987761704488456,pregnant
preg7,small,0.002025420537296011,pregnant
nonpreg1,unknown1,0.5496510103490562,not pregnant
nonpreg2,unknown1,0.4471136372535184,not pregnant
nonpreg3,unknown1,0.4170627126293193,not pregnant
nonpreg4,unknown1,0.3818959496110139,not pregnant
nonpreg5,unknown1,0.4149039428602514,not pregnant
nonpreg6,unknown1,0.349519353988781,not pregnant
nonpreg7,unknown1,0.3755030029807892,not pregnant
nonpreg8,unknown1,0.4074518252479396,not pregnant
preg1,unknown1,0.2892189596476361,pregnant
preg2,unknown1,0.2751210007054159,pregnant
preg3,unknown1,0.39384698832943177,pregnant
preg4,unknown1,0.20677630704390146,pregnant
preg5,unknown1,0.3971446143224315,pregnant
preg6,unknown1,0.4031726744415217,pregnant
preg7,unknown1,0.31220772132289376,pregnant
